key,value
child_profile:aa,"{""gender"":""boy"",""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
child_profile:ann,"{""gender"":""girl"",""daycare"":{""name"":""KinderCare"",""phone"":"""",""address"":"""",""teacherName"":""""},""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
child_profile:aria,"{""gender"":""girl"",""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
child_profile:atlas,"{""gender"":""boy"",""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
child_profile:cc,"{""gender"":""boy"",""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
child_profile:evelyn,"{""gender"":""girl"",""daycare"":null,""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
child_profile:your-child,"{""gender"":""girl"",""daycare"":{""name"":""Your Daycare"",""phone"":"""",""address"":"""",""teacherName"":""""},""allergies"":[{""id"":""1"",""name"":""Peanuts"",""emoji"":""🥜"",""description"":""Mild reaction - avoid""},{""id"":""2"",""name"":""Dairy"",""emoji"":""🥛"",""description"":""Lactose sensitive - use alternatives""}],""milestones"":[{""id"":""1"",""date"":""11 months"",""name"":""First words"",""status"":""achieved""},{""id"":""2"",""date"":""13 months"",""name"":""Walking independently"",""status"":""achieved""},{""id"":""3"",""name"":""Toilet training"",""status"":""in-progress""}],""preferences"":{""toys"":[""Teddy bear"",""Building blocks"",""Picture books""],""foods"":[""Banana"",""Yogurt"",""Chicken nuggets""],""sleepComfort"":""Needs white noise & light blanket""},""measurements"":[{""date"":""2024-01-15"",""head"":45,""height"":78,""weight"":11.2},{""date"":""2024-02-15"",""head"":45.5,""height"":79,""weight"":11.5},{""date"":""2024-03-15"",""head"":45.8,""height"":80,""weight"":11.8},{""date"":""2024-04-15"",""head"":46,""height"":81,""weight"":12.1},{""date"":""2024-05-15"",""head"":46,""height"":82,""weight"":12.4},{""date"":""2024-06-15"",""head"":46,""height"":83,""weight"":12.7}],""pediatrician"":{""name"":""Dr. Sarah Johnson"",""phone"":""+1 (555) 246-8135"",""clinic"":""Sunny Kids Pediatrics"",""address"":""123 Medical Center Dr.""},""medicalHistory"":{""vaccinations"":[{""id"":""1"",""date"":""May 15, 2024"",""name"":""MMR"",""nextDate"":""Dec 15, 2024""}],""pastConditions"":[{""id"":""1"",""date"":""March 2024"",""name"":""Ear infection""},{""id"":""2"",""date"":""Jan 2024"",""name"":""Cold & fever""}],""currentMedications"":[]},""emergencyContacts"":[{""id"":""1"",""name"":""Dad"",""phone"":""+1 (555) 123-4567"",""relation"":""Primary""},{""id"":""2"",""name"":""Mom"",""phone"":""+1 (555) 987-6543"",""relation"":""Parent""}]}"
daily_data:5975e934-c213-42d8-bbde-bb079e405f1e:2025-11-27,"{""date"":""2025-11-27"",""userId"":""5975e934-c213-42d8-bbde-bb079e405f1e"",""updatedAt"":""2025-11-27T09:31:07.058Z""}"
daily_data:89ed9e4b-4150-4122-af65-7d725069c75a:2025-11-27,"{""date"":""2025-11-27"",""userId"":""89ed9e4b-4150-4122-af65-7d725069c75a"",""updatedAt"":""2025-11-27T20:39:06.657Z""}"
daily_data:89ed9e4b-4150-4122-af65-7d725069c75a:2025-11-28,"{""date"":""2025-11-28"",""mood"":""hyper"",""userId"":""89ed9e4b-4150-4122-af65-7d725069c75a"",""updatedAt"":""2025-11-28T00:57:56.188Z""}"
